City_ID,City,Country,Date,Lat,Lng,Max Temp,Current Description,Humidity,Clouds,Wind Speed,Rain (last 3h),Snow (last 3h)
0,Puerto Ayora,EC,2020-04-19 20:27:48,-0.74,-90.35,86.0,shower rain,70,40,16.11,0.0,0.0
1,Butaritari,KI,2020-04-19 20:25:37,3.07,172.79,83.1,light rain,76,28,10.04,0.37,0.0
2,Hobart,AU,2020-04-19 20:25:37,-42.88,147.33,51.8,light intensity shower rain,81,75,13.27,0.0,0.0
3,Longyearbyen,SJ,2020-04-19 20:24:41,78.22,15.64,33.8,light intensity drizzle,69,75,38.03,0.0,0.0
4,Honningsvag,NO,2020-04-19 20:30:01,70.98,25.97,39.2,light intensity drizzle,86,75,20.8,0.0,0.0
5,Esperance,AU,2020-04-19 20:28:38,-33.87,121.9,50.0,clear sky,93,0,6.93,0.0,0.0
6,Busselton,AU,2020-04-19 20:23:44,-33.65,115.33,55.0,broken clouds,61,79,17.05,0.0,0.0
7,Liverpool,GB,2020-04-19 20:30:02,53.41,-2.98,52.0,clear sky,56,0,12.75,0.0,0.0
8,Saint-Augustin,CA,2020-04-19 20:25:11,51.23,-58.65,31.35,overcast clouds,93,100,14.54,0.0,0.0
9,Lebu,CL,2020-04-19 20:26:26,-37.62,-73.65,58.77,overcast clouds,67,100,10.25,0.0,0.0
10,Punta Arenas,CL,2020-04-19 20:27:45,-53.15,-70.92,44.6,scattered clouds,65,40,31.09,0.0,0.0
11,Bac Lieu,VN,2020-04-19 20:30:03,9.29,105.72,80.47,clear sky,76,0,6.31,0.0,0.0
12,Bluff,NZ,2020-04-19 20:25:57,-46.6,168.33,44.01,light rain,81,85,5.99,0.13,0.0
13,Cape Town,ZA,2020-04-19 20:26:03,-33.93,18.42,64.0,broken clouds,82,75,19.46,0.0,0.0
14,Novogornyy,RU,2020-04-19 20:30:03,55.63,60.79,35.6,smoke,64,20,4.47,0.0,0.0
15,Mataura,NZ,2020-04-19 20:27:51,-46.19,168.86,44.01,overcast clouds,81,95,5.99,0.0,0.0
16,Hami,CN,2020-04-19 20:29:13,42.8,93.45,59.0,overcast clouds,20,96,11.21,0.0,0.0
17,Sasina,BA,2020-04-19 20:30:04,44.8,16.74,62.6,light rain,67,100,4.7,0.94,0.0
18,Gilbues,BR,2020-04-19 20:29:01,-9.83,-45.34,77.22,light rain,71,18,5.61,0.11,0.0
19,Faanui,PF,2020-04-19 20:28:26,-16.48,-151.75,83.21,light rain,74,67,14.52,1.35,0.0
20,Komsomolskiy,UZ,2020-04-19 20:26:48,40.43,71.72,57.2,clear sky,50,0,4.7,0.0,0.0
21,Portel,BR,2020-04-19 20:30:05,-1.94,-50.82,79.18,moderate rain,94,98,2.44,4.42,0.0
22,Lorengau,PG,2020-04-19 20:27:54,-2.02,147.27,82.54,light rain,78,40,6.29,0.28,0.0
23,Araouane,ML,2020-04-19 20:30:05,18.9,-3.53,87.8,clear sky,29,0,10.87,0.0,0.0
24,Bredasdorp,ZA,2020-04-19 20:28:18,-34.53,20.04,60.8,clear sky,87,9,5.82,0.0,0.0
25,Mahanoro,MG,2020-04-19 20:30:06,-19.9,48.8,74.66,light rain,83,6,7.74,0.46,0.0
26,Jamestown,US,2020-04-19 20:25:56,42.1,-79.24,48.99,overcast clouds,61,90,16.11,0.0,0.0
27,Rochester,US,2020-04-19 20:28:02,43.15,-77.62,48.99,light rain,75,90,19.46,0.0,0.0
28,Batagay,RU,2020-04-19 20:29:07,67.63,134.63,6.31,overcast clouds,87,89,3.58,0.0,0.0
29,Ushuaia,AR,2020-04-19 20:26:34,-54.8,-68.3,42.8,heavy intensity drizzle,81,75,27.51,0.0,0.0
30,Roma,US,2020-04-19 20:29:04,43.21,-75.46,46.4,light rain,81,90,11.41,0.0,0.0
31,Rehoboth,NA,2020-04-19 20:30:07,-23.32,17.08,72.01,scattered clouds,33,36,9.89,0.0,0.0
32,Severo-Kurilsk,RU,2020-04-19 20:28:53,50.68,156.12,29.23,broken clouds,91,83,11.56,0.0,0.0
33,Marawi,PH,2020-04-19 20:28:40,8.0,124.29,69.01,scattered clouds,75,40,2.21,0.0,0.0
34,Kodiak,US,2020-04-19 20:27:51,57.79,-152.41,44.6,broken clouds,81,75,8.05,0.0,0.0
35,Port Alfred,ZA,2020-04-19 20:23:49,-33.59,26.89,79.66,scattered clouds,45,26,12.66,0.0,0.0
36,Ballina,AU,2020-04-19 20:25:21,-28.87,153.57,59.0,scattered clouds,93,40,4.7,0.0,0.0
37,Bambous Virieux,MU,2020-04-19 20:25:34,-20.34,57.76,77.0,shower rain,88,75,6.93,0.0,0.0
38,Union,US,2020-04-19 20:30:09,40.63,-74.27,62.6,clear sky,31,1,13.87,0.0,0.0
39,Tuktoyaktuk,CA,2020-04-19 20:28:09,69.45,-133.04,8.6,light snow,84,90,11.41,0.0,0.0
40,Gizo,SB,2020-04-19 20:30:09,-8.1,156.84,82.08,moderate rain,76,95,3.85,3.12,0.0
41,Albany,US,2020-04-19 20:27:08,42.6,-73.97,64.0,broken clouds,28,81,9.28,0.0,0.0
42,Hithadhoo,MV,2020-04-19 20:26:38,-0.6,73.08,84.72,overcast clouds,76,88,10.49,0.0,0.0
43,Meridian,US,2020-04-19 20:30:10,43.61,-116.39,66.0,clear sky,33,1,12.75,0.0,0.0
44,Male,MV,2020-04-19 20:30:10,4.17,73.51,85.5,light rain,74,72,9.42,1.57,0.0
45,Bafata,GW,2020-04-19 20:30:10,12.17,-14.75,83.71,broken clouds,40,58,8.88,0.0,0.0
46,Taltal,CL,2020-04-19 20:30:11,-25.4,-70.48,68.9,clear sky,61,0,4.23,0.0,0.0
47,Takapau,NZ,2020-04-19 20:30:11,-40.03,176.35,57.99,overcast clouds,87,94,11.01,0.0,0.0
48,Dikson,RU,2020-04-19 20:28:50,73.51,80.55,34.93,overcast clouds,89,95,29.04,0.0,0.0
49,Rikitea,PF,2020-04-19 20:27:49,-23.12,-134.97,76.87,overcast clouds,68,100,6.96,0.0,0.0
50,Kalawit,PH,2020-04-19 20:30:12,8.07,122.52,78.53,light rain,86,32,3.85,0.37,0.0
51,Hutang,CN,2020-04-19 20:30:12,31.53,119.48,51.8,mist,100,100,2.24,0.0,0.0
52,Puerto Carreno,CO,2020-04-19 20:29:07,6.19,-67.49,80.6,broken clouds,78,75,9.17,0.0,0.0
53,Kulu,TR,2020-04-19 20:30:12,39.1,33.08,57.81,overcast clouds,34,94,1.3,0.0,0.0
54,Betanzos,ES,2020-04-19 20:30:13,43.28,-8.21,57.99,few clouds,93,20,2.24,0.0,0.0
55,Iqaluit,CA,2020-04-19 20:25:48,63.75,-68.51,5.0,few clouds,65,20,4.7,0.0,0.0
56,Cidreira,BR,2020-04-19 20:27:42,-30.18,-50.21,68.86,clear sky,79,0,13.82,0.0,0.0
57,Vaini,TO,2020-04-19 20:24:14,-21.2,-175.2,80.6,few clouds,78,20,8.05,0.0,0.0
58,Zhoucheng,CN,2020-04-19 20:30:14,35.91,116.31,53.56,overcast clouds,38,94,16.17,0.0,0.0
59,Turukhansk,RU,2020-04-19 20:30:14,65.82,87.98,37.98,overcast clouds,75,100,17.09,0.0,0.0
60,Pevek,RU,2020-04-19 20:23:39,69.7,170.31,6.69,light snow,94,100,5.68,0.0,0.17
61,Saint Anthony,US,2020-04-19 20:30:14,45.02,-93.22,50.0,clear sky,24,1,12.75,0.0,0.0
62,Hermanus,ZA,2020-04-19 20:27:39,-34.42,19.23,59.0,broken clouds,95,73,12.01,0.0,0.0
63,Arraial Do Cabo,BR,2020-04-19 20:24:27,-22.97,-42.03,77.0,scattered clouds,69,40,8.05,0.0,0.0
64,Sochi,RU,2020-04-19 20:28:37,43.6,39.73,52.0,few clouds,81,13,4.47,0.0,0.0
65,Upernavik,GL,2020-04-19 20:28:49,72.79,-56.15,23.95,overcast clouds,88,100,18.52,0.0,0.0
66,Isangel,VU,2020-04-19 20:27:54,-19.55,169.27,80.6,overcast clouds,83,90,6.93,0.0,0.0
67,Cherskiy,RU,2020-04-19 20:26:20,68.75,161.3,4.64,light snow,93,100,6.87,0.0,0.13
68,Opuwo,NA,2020-04-19 20:30:16,-18.06,13.84,69.94,light rain,52,40,9.66,2.31,0.0
69,Chuy,UY,2020-04-19 20:27:59,-33.7,-53.46,67.73,clear sky,78,4,8.21,0.0,0.0
70,Kloulklubed,PW,2020-04-19 20:30:17,7.04,134.26,78.8,broken clouds,88,75,6.93,0.0,0.0
71,Peleduy,RU,2020-04-19 20:30:17,59.63,112.74,13.12,broken clouds,92,52,1.9,0.0,0.0
72,Wasilla,US,2020-04-19 20:29:16,61.58,-149.44,50.0,broken clouds,81,75,4.7,0.0,0.0
73,Mount Isa,AU,2020-04-19 20:30:17,-20.73,139.5,59.0,broken clouds,51,68,8.23,0.0,0.0
74,Hilo,US,2020-04-19 20:27:54,19.73,-155.09,78.8,clear sky,57,1,11.41,0.0,0.0
75,Agadez,NE,2020-04-19 20:28:33,19.75,10.25,87.55,broken clouds,10,62,8.68,0.0,0.0
76,Vauvert,FR,2020-04-19 20:30:18,43.7,4.28,59.0,overcast clouds,93,90,4.54,0.0,0.0
77,Viseu,PT,2020-04-19 20:30:18,40.66,-7.91,53.01,clear sky,1,9,5.01,0.0,0.0
78,Malindi,KE,2020-04-19 20:30:18,-3.22,40.12,78.6,light rain,83,100,12.19,0.16,0.0
79,Auki,SB,2020-04-19 20:30:19,-8.77,160.7,82.17,broken clouds,76,71,2.21,0.0,0.0
80,Raga,SS,2020-04-19 20:30:19,8.46,25.68,78.49,broken clouds,14,55,3.67,0.0,0.0
81,Rawah,IQ,2020-04-19 20:30:19,34.48,41.91,77.02,broken clouds,28,74,2.84,0.0,0.0
82,Chiredzi,ZW,2020-04-19 20:30:20,-21.05,31.67,65.84,few clouds,58,11,5.03,0.0,0.0
83,Nampula,MZ,2020-04-19 20:30:20,-15.12,39.27,71.6,scattered clouds,88,40,8.05,0.0,0.0
84,Atuona,PF,2020-04-19 20:27:43,-9.8,-139.03,82.96,scattered clouds,74,48,16.98,0.0,0.0
85,Pisco,PE,2020-04-19 20:30:21,-13.7,-76.22,77.0,clear sky,61,0,13.87,0.0,0.0
86,Karratha,AU,2020-04-19 20:24:23,-20.74,116.85,82.22,overcast clouds,60,100,4.61,0.0,0.0
87,Champerico,GT,2020-04-19 20:29:11,14.3,-91.92,87.49,few clouds,55,13,8.63,0.0,0.0
88,Crib Point,AU,2020-04-19 20:30:22,-38.35,145.2,55.99,light rain,82,100,29.71,0.0,0.0
89,Bethel,US,2020-04-19 20:27:47,41.37,-73.41,62.01,clear sky,47,1,20.8,0.0,0.0
90,Belyy Yar,RU,2020-04-19 20:28:10,53.6,91.39,41.0,clear sky,44,0,8.95,0.0,0.0
91,Caranavi,BO,2020-04-19 20:30:22,-15.82,-67.55,78.08,scattered clouds,37,43,3.0,0.0,0.0
92,Luzhou,CN,2020-04-19 20:30:22,28.87,105.44,64.72,light rain,79,100,6.91,1.77,0.0
93,Zvishavane,ZW,2020-04-19 20:30:23,-20.33,30.07,60.78,few clouds,55,14,4.41,0.0,0.0
94,Muli,MV,2020-04-19 20:30:23,2.92,73.57,85.41,few clouds,73,14,9.64,0.0,0.0
95,Avarua,CK,2020-04-19 20:27:35,-21.21,-159.78,82.4,light rain,69,2,8.05,0.14,0.0
