City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Rain (last 3h),Snow (last 3h),Hotel Name
0,Puerto Ayora,EC,86.0,shower rain,-0.74,-90.35,0.0,0.0,Finch Bay Galapagos Hotel
11,Bac Lieu,VN,80.47,clear sky,9.29,105.72,0.0,0.0,Khách sạn Sài Gòn Bạc Liêu
13,Cape Town,ZA,64.0,broken clouds,-33.93,18.42,0.0,0.0,Southern Sun Waterfront Cape Town
23,Araouane,ML,87.8,clear sky,18.9,-3.53,0.0,0.0,
24,Bredasdorp,ZA,60.8,clear sky,-34.53,20.04,0.0,0.0,Bredasdorp Country Manor
31,Rehoboth,,72.01,scattered clouds,-23.32,17.08,0.0,0.0,Noble Luminous Accommodation
33,Marawi,PH,69.01,scattered clouds,8.0,124.29,0.0,0.0,Derogongan Residence
35,Port Alfred,ZA,79.66,scattered clouds,-33.59,26.89,0.0,0.0,The Halyards Hotel
37,Bambous Virieux,MU,77.0,shower rain,-20.34,57.76,0.0,0.0,Casa Tia Villa
38,Union,US,62.6,clear sky,40.63,-74.27,0.0,0.0,Homewood Suites by Hilton Newark-Cranford
41,Albany,US,64.0,broken clouds,42.6,-73.97,0.0,0.0,
42,Hithadhoo,MV,84.72,overcast clouds,-0.6,73.08,0.0,0.0,Scoop Guest House
43,Meridian,US,66.0,clear sky,43.61,-116.39,0.0,0.0,Courtyard by Marriott Boise West/Meridian
45,Bafata,GW,83.71,broken clouds,12.17,-14.75,0.0,0.0,
46,Taltal,CL,68.9,clear sky,-25.4,-70.48,0.0,0.0,Residencial Karime
49,Rikitea,PF,76.87,overcast clouds,-23.12,-134.97,0.0,0.0,Pension Maro'i
52,Puerto Carreno,CO,80.6,broken clouds,6.19,-67.49,0.0,0.0,Casa Hotel Victoria
56,Cidreira,BR,68.86,clear sky,-30.18,-50.21,0.0,0.0,Novomar Pousada e Turismo Ltda
57,Vaini,TO,80.6,few clouds,-21.2,-175.2,0.0,0.0,Keleti Beach Resort
63,Arraial Do Cabo,BR,77.0,scattered clouds,-22.97,-42.03,0.0,0.0,Pousada Porto Praia
66,Isangel,VU,80.6,overcast clouds,-19.55,169.27,0.0,0.0,Volcano Sea View Tree House
69,Chuy,UY,67.73,clear sky,-33.7,-53.46,0.0,0.0,Nuevo Hotel Plaza
