City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tuktoyaktuk,CA,2020-04-17 11:47:47,69.45,-133.04,6.4,96,86,1.23
1,Klaksvik,FO,2020-04-17 11:51:32,62.23,-6.59,46.4,68,90,5.82
2,Formosa,AR,2020-04-17 11:48:02,-26.18,-58.18,51.8,93,0,4.94
3,Ahipara,NZ,2020-04-17 11:48:26,-35.17,173.17,65.5,86,74,20.13
4,Kununurra,AU,2020-04-17 11:48:54,-15.77,128.73,86.0,62,21,8.05
5,Karratha,AU,2020-04-17 11:51:33,-20.74,116.85,85.3,62,98,10.96
6,Aranjuez,ES,2020-04-17 11:51:33,40.03,-3.6,64.99,67,75,12.75
7,Nikolskoye,RU,2020-04-17 11:47:54,59.7,30.79,45.0,48,75,22.37
8,Olinda,BR,2020-04-17 11:51:34,-8.01,-34.86,86.0,70,40,9.17
9,Yerofey Pavlovich,RU,2020-04-17 11:51:34,53.97,121.97,32.68,69,24,8.28
10,Port-Cartier,CA,2020-04-17 11:49:45,50.03,-66.87,25.0,62,75,10.29
11,Jamestown,US,2020-04-17 11:47:51,42.1,-79.24,26.6,79,1,4.7
12,Punta Arenas,CL,2020-04-17 11:47:36,-53.15,-70.92,39.2,80,0,8.05
13,Atuona,PF,2020-04-17 11:47:35,-9.8,-139.03,81.61,78,95,15.39
14,Rikitea,PF,2020-04-17 11:47:37,-23.12,-134.97,76.69,70,38,9.1
15,Araceli,PH,2020-04-17 11:51:36,10.55,119.99,83.84,75,0,6.8
16,Honningsvag,NO,2020-04-17 11:49:11,70.98,25.97,37.4,84,75,13.87
17,Saint-Joseph,RE,2020-04-17 11:51:37,-21.37,55.62,82.4,65,26,26.4
18,Comodoro Rivadavia,AR,2020-04-17 11:50:29,-45.87,-67.5,68.0,64,100,3.36
19,Ushuaia,AR,2020-04-17 11:47:31,-54.8,-68.3,44.6,81,37,6.93
20,Tasiilaq,GL,2020-04-17 11:48:13,65.61,-37.64,33.8,93,100,27.51
21,Lavrentiya,RU,2020-04-17 11:47:43,65.58,-171.0,33.76,96,100,5.75
22,Thompson,CA,2020-04-17 11:48:05,55.74,-97.86,19.4,67,90,4.7
23,Wadena,US,2020-04-17 11:51:38,46.44,-95.14,21.2,79,1,5.82
24,Nyurba,RU,2020-04-17 11:48:25,63.28,118.33,13.32,91,94,4.97
25,Kaitangata,NZ,2020-04-17 11:43:39,-46.28,169.85,52.0,82,99,20.0
26,Luanda,AO,2020-04-17 11:46:07,-8.84,13.23,87.8,70,75,3.36
27,Fort Nelson,CA,2020-04-17 11:51:39,58.81,-122.7,44.6,70,90,2.24
28,Igarka,RU,2020-04-17 11:51:40,67.47,86.58,33.37,95,100,12.59
